"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"109","Pan t.",1880,"CMNH",143.388,110.542,85.928,141.463,144.322,"ring3","Pan t."
"110","Pan t.",2823,"CMNH",108.49,87.437,71.339,108.823,106.293,"ring3","Pan t."
"111","Pan t.",1843,"CMNH",134.012,102.338,80.739,129.773,131.912,"ring3","Pan t."
"112","Pan t.",23167,"MCZ",133.75,104.284,77.739,131.824,130.389,"ring3","Pan t."
"113","Pan t.",3539,"CMNH",137.227,116.122,94.002,138.067,139.443,"ring3","Pan t."
"114","Pan t.",3551,"CMNH",137.993,97.347,73.01,128.136,130.822,"ring3","Pan t."
"115","Hylobates lar",35949,"MCZ",81.254031,54.2815077,43.0696701,72.1351404,72.6279102,"ring4","Hylobates lar"
"116","Hylobates lar",41469,"MCZ",70.278,52.295,45.68,65.307,67.608,"ring4","Hylobates lar"
"117","Hylobates lar",41449,"MCZ",73.595,56.091,48.201,69.798,69.009,"ring4","Hylobates lar"
"118","Hylobates lar",41477,"MCZ",71.597,45.512,36.842,68.154,66.138,"ring4","Hylobates lar"
"119","Hylobates lar",41506,"MCZ",74.112,44.649,32.276,66.786,64.125,"ring4","Hylobates lar"
"120","Hylobates lar",41524,"MCZ",71.588,51.501,48.38,65.187,67.777,"ring4","Hylobates lar"
"121","Hylobates lar",41416,"MCZ",73.621,50.465,44.024,66.404,67.379,"ring4","Hylobates lar"
"122","Hylobates lar",41500,"MCZ",65.431,72.781,46.981,64.989,66.147,"ring4","Hylobates lar"
"123","Hylobates lar",35943,"MCZ",69.156,52.229,41.77,67.33,66.493,"ring4","Hylobates lar"
"124","Hylobates lar",41412,"MCZ",75.759,53.616,40.06,75.963,73.121,"ring4","Hylobates lar"
"125","Pongo",37363,"MCZ",147.053,97.387,78.784,136.909,136.197,"ring4","Pongo"
"126","Pongo",5195,"MCZ",142.756,102.719,82.647,135.694,133.395,"ring4","Pongo"
"127","Pongo",1055,"CMNH",137.356,88.652,81.889,125.837,119.276,"ring4","Pongo"
"128","Pongo",1030,"CMNH",135.784,91.668,84.329,127.828,124.724,"ring4","Pongo"
